Place Name,Rating,About Place
"Land, Sea & Sky City Pass",NaN,"The Land, Sea and Sky is a package introduced by the CityTours, Singapore. This includes triple experience combining all land, sea and the sky! Covering all three dimensions in one single pass, this three-day package is a perfect way to discover Singapore's best tourist attractions. The Land attractions start off on the FunVee Open Top Bus. A one-day hopper offers FunVee City Hop on Hop off, Marina Sightseeing and the Sentosa Shuttle with unlimited use (within 1 day). This package also includes an admission ticket to Gardens by the Bay's Flower Dome, OCBC Skyway and the Cloud Forest. Along with this, a Singapore River Boat experience and a choice between the Marina Bay Sands Skypark or 1 Altitude Observatory Deck."
Art-2 Gallery,2.4,"Singapore is the land of extraordinary artistic creations, and a number of them are showcased in the various art galleries within the city. From ancient to abstract, from modern to contemporary, these art galleries are no less than Paradise to art enthusiasts and it is no wonder that they are frequented by people all over the world. The Art-2 Gallery is among one of the pioneering art galleries of Singapore, situated at 140 Hill Street and specializes in ceramics, contemporary paintings and sculptures. Established in 1991, this magnificent gallery hosts bold exhibitions displaying bright, vibrant paintings and sculptures under the guidance of its director, Vera Ong. The various artworks displayed in this gallery give expression to the Southeast Asian art form."
Jurong Hill Lookout Tower,2.4,"The places that are offbeat are usually the places to be, and the colossal Jurong Lookout Tower is an ideal example of this. Providing a panoramic view of the vibrant district of Jurong, this viewing tower stands at a towering height of eighteen metres."
Jejawi Tower,2.4,"The Jejawi Tower stands at a soaring height of 20 metres and is situated at the Chek Jawa Wetlands in Singapore. The chirp of birds in the thick canopy of the lush forests, the chatter of monkeys up to some mischief, and the breathtaking view of the tropical forest and the ocean below are what make this place an ideal spot for nature enthusiasts."
Istana Change Of Guards,2.4,"The Istana Park is located in front of the Presidential residence, Istana. A gateway to Singapore's Civic District Trail, the park is an education and information hub of Singapore's rich history. The main highlight of the park's main gateway is the Changing of Guards Ceremony that happens every month. Every month during the Ceremonial Changing of Guards, a squad of 20 guards from the Armed Military Forces Police Command takes over the duties of the former guards who were patrolling for the previous month, and a new unit of guards are stationed and signified by this ceremony."
Large Reclining Figure,2.4,"The Large Reclining Figure is a sculpture - a flexuous-abstract-human figure, built by Henry Moore. Perceived mostly in a human form, the figure has a notch at the head that resembles a widely divided hoof. It is then followed by a narrowed torso with a suspended bosom. The left arm is rested on the ground while the right one is connected to a pelvis that is reclining on the ground. From the pelvis is an extended bone which represents a limb, stretching to one side."
Thaipusam,2.4,"Celebrated by the Tamil population of Singapore, Thaipusam is a two-day festival dedicated to Lord Murugan - the Hindu God of war and epitomizes youth, power, and virtue. It falls on the day of the full moon during the Tamil month of Thai. Celebration of Thaipusam in Singapore involves early morning prayers, asceticism, self-control, processions and piercings."
Abundance III Sculpture,2.4,"A piece of awe-inspiring art, the wonderful Abundance III sculpture is a huge bronze ring which adds an unusual charm to Suntec City, Singapore. Constructed in 1995, this illusionistic ring was sculpted by Sun Yu-Li, the former Singaporean architect who had given up architecture in order to pursue his love for sculpting."
Club Street Singapore,2.4,"Located in the heart of Chinatown within the Outram Planning Area, is the very popular Club Street. An L-shaped enclave between the historic Chinatown and the modern Telok Ayer, it links Cross Street with Ann Siang Hill, leading to South Bridge Road. Formerly a sleepy little place, Club Street now draws extensive crowds as it is lined with numerous bars and restaurants. It is also famous for its beautiful shop houses, which have been conserved and turned into charming galleries and cafes. These magnificent shop houses lend the bars and restaurants an exquisite old world charm, which makes Club Street a perfect place to enjoy a relaxing drink with friends."
Six Brushstrokes,2.4,"One of the last works of Roy Lichtenstein, 'Six Brushstrokes' is an artwork made of aluminium sculpture that infuses Chinese calligraphic traditions and western bebop that portray abstract illusions of nature, seashores and land, thereby completing Lichtenstein's wish to display his art in Singapore. These post-industrial themed artworks are commissioned explicitly at Millennia Walk, Singapore. Six Brushstrokes was authorised in 1996. These six different pieces of aluminium sculptures are at a distance of four to twelve meters. Each of the six sculptures is a perfect manifestation of Chinese and Western culture."
Deepavali,2.4,"One of the grandest festivals in India, Deepavali in Singapore is quite grand. As light triumphs over darkness, the Little India of Singapore comes to life with colourful rangolis and vibrant fairy lights. Prior to the grand Deepavali celebrations in Singapore, the streets of Little India are thronged by families for shopping at the many vibrant bazaars lining the stunningly lit up streets."
Dairy Farm Nature Park,2.4,"The Dairy Farm Nature Park is a magnificent nature park located in the Upper Bukit Timah area of Singapore. Spread across a thriving 63-hectare land, it is famous for nature trails, hiking, and the quarry. At the south-western end of the park lies the Singapore Quarry, a relaxing wetland and picturesque spot, serving as a prime spot for freshwater flora and fauna including the critically endangered little grebe bird. Gain knowledge about the changing landscape of the dairy farm and explore the wonders of nature through varied exhibits at the Dairy Farm Nature Park."
Tekka Centre,2.4,"Tekka Centre is a colourful hawker market located and a dining landmark in Little India. Housing the biggest 'wet' market of Singapore, this brightly painted building also stores a wide array of products from vibrant Indian clothing to biryani!"
Theemithi in Singapore,2.4,"Originating in South India, Theemithi or Thimithi is a fire walking festival, celebrated a week-before Diwali. Celebrated in the honour of goddess Draupati Amman or Draupadi, an incarnation of goddess Mariamman, Thimithi is celebrated with big pomp and show at the Sri Mariamman Temple of Singapore."
Singapore International Film Festival,2.3,"Singapore International Film Festival is one of the most renowned international film festivals which happens every year around November and December in Singapore. The focus of this film festival is to display internationally acknowledged films and provide them with a global platform. It started in 1987 and has now become the longest-running film festival in Singapore. Running over a period of 11 days, this film festival reaches to around 100,000 people every year. One must attend the Singapore Film Festival if one is a film fanatic and would want to learn more about film making."
Marine Cove Playground,2.3,"The Marine Cove Outdoor Park for children is located within the East Coast Park of Singapore serving as a kid-friendly place for children of every age. The young children have access to 3,500 square metres of open space and play with a variety of toys and implements meant to provide hours of fun."
Kranji Farms,2.3,"Kranji is Singapore's most famous farmland spanning an area of over 600 hectares. The Kranji farms, earlier known as Kranji Countryside, houses over 200 farms, out of which only 18 are open to the public. The Farmer’s Market at Kranji Farms is quite interesting where visitors can learn about fresh farming and interact with local farmers. Surrounded by jungle and wetlands, Kranji is the perfect getaway for those looking forward to spending some time in the countryside."
Changi Village Hawker Centre,2.3,"With the boardwalks and the beach parks, the temples and the chapels, Changi Village is a popular hub among the locals and visitors alike. However, what sets the place apart from the rest is the Changi Village Hawker Centre serving mouth-watering Malay food to the ones who throng the place day in and day out."
Keppel Hill Reservoir,2.3,"The Keppel Hill Reservoir is an abandoned reservoir located at Joaquim Garden and Landscape of Keppel Hill in Singapore. It is not a very popular trek amongst hikers even though it is not a very tough feat to perform. This is so because of the rumours of people being drowned in the reservoir and the place being haunted. For this reason, Keppel Hill Reservoir Trek is also known as the “abandoned trail.” This trek is meant for adventurous people and not for the faint-hearted as Keppel Hill Reservoir Trek is a journey to find a reservoir that seems to be lost in the wilderness. This trek is a good option for those who love exploring lonely pockets that are less frequented."
Everton Park,2.2,"The second hippest area in Singapore (after Tiong Bahru), Everton Park is a great place for foodies and fun-lovers! Right opposite to the Duxton area, this charming neighbourhood is a mix of suburban and old-fashioned ideas. It is definitely a must-visit for those who like to explore the food scene of Singapore with its cafes and restaurants."
Myra's Beach Club,2.2,"Myra's Beach Club is a one of its kind restaurant that serves a unique mixture of North Indian and Mexican food. Aside from its beach club location that gives the view of the clear waters and beautiful sky, Myra's also has outlets at the indoor Stadium, Fort Canning Park and the Quay.  Indulge in freshly-made delectable food items whilst enjoying the serene view of the open ocean. The vibrant decor and endless options of cuisines to pick from are some of the major highlights of this restaurant."
Beaches On Sentosa,2.2,"Just south of Singapore, Sentosa Island is one of the most popular places in the city. It is a big island full of man-made activities geared for tourists and also houses three of the best beaches in Singapore - Tanjong Beach, Siloso Beach, and Palawan Beach. For centuries, the island was known as Pulau Blakang Mati, meaning 'death from behind'. This name wasn't a very lucrative one; tourists would be repelled rather than be attracted to visit the island. And so, in 1972 the name was changed to Sentosa: which means 'peace and tranquillity' from the Sanskrit word, Santosha."
Hungry Ghost Festival,2.2,"The Hungry Ghost Festival is a religiously significant festival in Singapore that takes place during the seventh month of the lunar calendar. It is a month-long festival in which Buddhist and Taoist devotees perform rituals and offer prayers and foods to the wandering spirits. During this month, the living pay tribute to the deceased ones and the entire Lion City becomes lively with entertainment shows and traditional events."
Mountain Biking Parks,2.2,"Mountain Biking is a thrilling, adrenaline-fuelled adventure sport which has recently risen to popularity in Singapore. From its tropical rainforests to seaside locations, several spots in Singapore make it ideal for a Mountain Biking adventure. It is now a serious passion among local Singaporean people, as well as those visiting Singapore. These six Mountain Biking Trails and Parks are sure to accommodate enthusiasts of all grades- from Novice to Advanced."
Mid-Autumn Festival in Singapore,2.2,"Bright lanterns, colourful garlands, delicious food and exuberant gatherings- the Mooncake Festival adorns Singapore with the most vibrant colours and fills the air with an appetizing scent. The Chinese Mid-Autumn Festival is a traditional east-Asian celebration honouring the Moon Goddess Chang’e, held on the fifteenth day of the eighth month of the Chinese lunar calendar. This event is a harvest and thanksgiving carnival that celebrates the values of family, prayer, and love. Twinkling lanterns, bright garlands, rich mooncakes, mouth-watering Chinese snacks, and festivities are part of the celebrations, making this festival a must-experience for tourists."
Westgate Wonderland,2.2,"Westgate Wonderland is the largest thematic rooftop playground located on the fourth floor of Westgate Mall in Singapore. Spread in an area of 11,000 square feet, it is popular among children for the giant replicas of insects, lily pads, and flowers as well as large spraying water cans. The major attractions at Westgate Wonderland include artificial rock climbing, slides, see-saws or a 10-meter high tree-house."
Former Saint Joseph's Institution,2.2,"The Former Saint Joseph's Institution is a historic building in Singapore located at Bras Basah Road in the Museum Planning Area, within the Central Area. Currently, it is also known as the Singapore Art Museum as it houses the same. It was designated as one of the National monuments of Singapore in 1992."
Mount Serapong,2.2,"One of the forgotten treasures of Singapore, Mount Serapong is a small hill in Sentosa Island where the dilapidated ruins of Fort Serapong are located. A place of visit for only the true explorers, the post-apocalyptic ruins on Mount Serapong date back to 1885 – the fort was once used to ward off pirates and invaders. Amongst the tourist attractions on the island and the luxury lifestyle of Sentosa Cove, this place seems quite out of the place as it is almost completely reclaimed by nature. The remnants still found in the area include underground magazines, support structures, casemates and a bunker which is 20 metres under the casemates and once served as a command centre."
Masjid Malabar,NaN,"Sitting in a quiet corner with Victoria Street on one side and Jalan Sultan on the other, the magnificent Malabar Muslim Jama-Ath Mosque, or simply the Masjid Malabar, is the only mosque in the multicultural city of Singapore which is under the management of the Malabar Muslim Community. The mosque gets its unique charm from a blue and white facade that is glorified with a golden dome on top making it popular as the “Golden Dome Mosque.” It is also renowned as the little cousin of the Sultan Mosque because of similar golden domes structures."
Botanic Garden Tanglin Gate,NaN,"The Botanic Gardens house some of the unique gardens in Singapore that use incredibly progressive techniques to nurture their plants. The Tanglin Gate Entrance of the Botanic Gardens is one of the four main entrances. This gate is also well known as the main entrance gate. Established in 1859, Tanglin Gate is sought to be the oldest part of the Botanic Gardens which is clearly shown in its exhibits that contain a rich amount of heritage and history and showcases them with pride. The Tanglin Gate Core contains age-old fixtures such as the Swan Lake and the Bandstand while also housing important buildings such as the SBG Heritage Museum and CDL Green Gallery, as well as gardens, such as the Sun Garden and the Bonsai Garden."
Chingay Parade Singapore,NaN,"The Chingay Parade is an annual celebration of the Lunar New Year, held at the Marina Bay Circuit in Singapore’s Central Area. Derived from the Mandarin word for ‘costume,’ this iconic extravaganza conducted by the People’s Association showcases the best of the Lion City’s diverse and unique culture, with captivating lights, huge floats, costumed characters, street performances, and props. Named Asia’s largest street parade, this electrifying fiesta features extravagant and intricately decorated floats, cultural dance shows, dancing dragons, martial arts displays, stilt walkers, and aerial performances that span different cultures, ethnicities, and traditions."
Mosaic Music Festival,NaN,"A festival for all the music enthusiasts, the Mozaic Music Festival is a decades-old tradition that features phenomenal musicians of different and unconventional genres. Extending over a week, this exceptional music festival has singers and musicians from across the country and overseas. With a deeper intention of bridging the gap between Singaporean and International music artists, this music festival is held at Esplanade - Theatres on the Bay. With genres like indie rock, hip-hop, folk, jazz, and other unconventional fortes, the Mosaic Music Series aims to bring the musical community of Singapore together and deepen its appreciation for new exceptional and experimental styles."
Singapore International Jazz Festival,NaN,"The Singapore International Jazz Festival is a popular jazz musical celebration held every year in the Lion City, featuring award-winning international sensations and local talent. Also known as SingJazz, this extravaganza is held yearly at the Marina Bay Sands and features the best of blues, jazz, and swing music from around the globe. Attended by more than twenty thousand music enthusiasts last year, the event has seen musicians like Grammy-winning Lalah Hathaway, Kamie Cullum, David Foster, Nik West, Soul II Soul, Incognito, and Lauryn Hill grace the stage in power-packed performances."
Singapore Food Festival,NaN,"If you love food and if you love travelling, Singapore's annual food fiesta may as well be your gastronomical escape to heavenly food at every turn. The food stall authorities definitely know how to seize this opportunity and bring out the best of Singapore's passion for food, with an over the top range of multicultural, heritage and explorative culinary experiences. A perfect blend of more than a dozen scrumptious escapades, this food festival features traditional, contemporary, local and international flavours. With a particular emphasis on Singaporean Cuisine, the SFF is mainly oriented toward conveying Singapore's culture and heritage and bridging the gap of awareness through food. The food festival not only offers food but also presents to you craft workshops, cooking demonstrations and theatrical experiences."
Vesak Day,NaN,"Vesak Day is a religious festival celebrated by Buddhists all over the world, falling in April-May every year. The most significant day in the Buddhist calendar, the Buddhists in Singapore and all over the world celebrate this day as the birth, enlightenment, and passing of the Buddha. Also known as Buddha Purnima, this festival enumerates the message of the Buddha and aims to remind devotees of their sacred duties of peace and tolerance."
Great Singapore Sale,NaN,The Great Singapore Sale is one of the biggest shopping festivals in Singapore. This month-long event is all about great buys at discounted rates and taking part in exciting activities that are particularly organised for the occasion. Even the smaller shops in different parts of the city take part in the sale and offer steep discounts on the original price. The Great Singapore Sale is managed by the Singapore Retailers Association and aims at boosting tourism in this region.
Haji Lane,NaN,"One of the narrowest streets in Singapore, Haji Lane is a chic alleyway splattered with colourful independent boutiques, cafes and quirky stores, sitting in the heart of Kampong Glam. The Bohemian street is lined with yoga centres, tattoo parlours, and vintage Egyptian restaurants attracting the young crowd who visit Haji Lane to shop at Singapore's nifty shops or just hang out with friends. The colourful graffiti splashed all across Haji Lane is another major attraction beckoning indie-minded shoppers looking to buy trendy and affordable brands."
Ann Siang Hill,NaN,"A place where rich history meets the modern and hippy trends, a place where you'll find resorted shopping stores, restaurants and niche boutiques, a place that'll leave you in awe, is Ann Siang Hill in Chinatown, Singapore. If Clarke Quay is the queen of parties, then the Ann Siang Road and Club Street area is its lose cousin with the same lively and fun vibes. The place gets charged with an electrifying aura as soon as the sun goes down and becomes favourite among the night lovers."
Lim Bo Seng Memorial,2.8,"Lim Bo Seng Memorial is an octagonal shaped pagoda, commemorating Major-General Lim Bo Seng - one of Singapore's war heroes during World War II. Located in Esplanade Park, this national monument is the only war memorial that commemorates an individual's contribution in World War II. Unveiled in 1954, the 3.6-metre high bronze pagoda is built in the Chinese national style architecture, making use of concrete and marble. Covered by a three-tiered bronze roof, four lions sit at the base."
NTU Centre For Contemporary Art Singapore,2.8,"The NTU Centre for Contemporary Art, abbreviated as NTU CCA Singapore, is a research centre lying in the campus of the Nanyang Technological University, which is one of the most reputed universities in the world. Located at Gillman Barracks at Block 6 Lock Road, it has been widely acclaimed for hosting exemplary exhibitions, research and academic education, and residencies. The Centre does it through various modes like exhibitions, lectures, workshops, open studios, and film screenings. NTU CCA also encourages visits by researchers and curators for their study."
Istana Heritage Gallery,2.8,"The Istana Heritage Gallery, located within the Istana Park is just opposite Istana, the official residence of the President of Singapore. The gallery contains a number of displays that highlight the historical importance of Istana. It was opened to the public in 2016 and can be reached by travelling along the Orchard Road. The exhibits trace the history of Istana that served as the Governor’s House during the Colonial period to its present-day role of being the Presidential office."
Seng Wong Beo Temple,2.7,"Sitting behind the crimson gates at Peck Seah Street, the quirky Seng Wong Beo Temple, also known as the Du Cheng Huang Gu Miao Temple, has unflinchingly preserved the age-old practice of hosting ghost marriages. Devoted to Wei Ling Gong, the Chinese City God, this temple is where the wedding bells are chimed for the deceased."
Cathay Gallery,2.7,"The Cathy Gallery is an art and film museum located in Orchard Road, in Singapore’s Museum Planning Area. A favourite among film enthusiasts, history buffs, and the eccentric hipster class, this Gallery is home to vintage movie posters, early cameras, film equipment of the twentieth century, and other memorabilia from the golden age of Singaporean cinema. Nostalgia beckons at every step in this museum, full of snippets from the film history of the region."
Masjid Al-Abrar,2.7,"Sitting in a busy corner of Telok Ayer Street in the Chinatown district of Singapore, the Al-Abrar Mosque, more commonly referred to as the Masjid Al-Abrar, is a quaint little mosque built by early Tamilian immigrants. As dawn approaches, the air encompassing the locality is filled with the echoes of the morning prayers originating from inside the Al-Abrar Mosque. In spite of being small, the mosque receives many faithful worshippers who come here on a daily basis to offer their prayers to Allah. It is particularly packed with devotees on Fridays, with people flocking in during the midday prayers."
Gajah Gallery Singapore,2.7,"Positioned currently in Tanjong Pagar, an industrial warehouse neighbourhood in Singapore, Gajah Gallery is a treasure trove where visitors can find exemplary works of art and aesthetics. Previously housed in MICA Building, Gajah Gallery was opened way back in 1996 and has since expanded to become one of Asia’s most culturally significant houses of artwork. Here, visitors can find a vivid diaspora of Asian modern art, not to be seen anywhere else."
Petain Road Singapore,2.7,"Petain Road is an artsy neighbourhood in Little India, Singapore. Known for its eighteen Chinese baroque-style terraced shophouses built in the early twentieth century, Perak Road is frequented by the hipster crowd, fashionistas, and photographers for its Instagram-worthy photo-ops, and tourists looking to buy oriental ware from the stores. While the area is notorious for being a red-light district, there are a number of stunning family-friendly boutiques, antique shops, and avant-garde teahouses that perfectly preserve the vintage feel of the area."
Wei Tuo Fa Gong Temple,2.6,"The sacred Wei Tuo Fa Gong Temple is a Buddhist place of worship situated at the gorgeous island, Pulau Ubin in Singapore. Seated on a small hillock that offers a beautiful view of a nearby pond teeming with turtles and carps, this pristine temple houses shrines dedicated to different Hindu and Buddhist gods. The sight of innumerable coloured prayer flags adorning the area is breathtaking, beckoning a considerable number of visitors. The exquisite Wei Tuo Fa Gong Temple emits a serene aura which is perfect to meditate in peace."
Angullia Mosque,2.6,"One of Singapore's oldest mosques, the Angullia Mosque is an iconic landmark in the vicinity of Serangoon Road and Little India. Also known as Masjid Angullia, it has been an epitome of faith and core Islamic values for more than one hundred and twenty years serving the Muslim community of this area in Singapore."
Ikkan Art International,2.6,"Ikkan Art International, Singapore is a branch of the Ikkan Art, that was established in New York in 1982. In 2011, this branch was introduced in Singapore as a versatile, multi-purpose art gallery. This art gallery is heavenly for fans of art and culture. The gallery holds multiple exhibitions throughout the year based on different themes that attract a lot of crowds, and it is no surprise that Ikkan Art International is a major tourist attraction in Singapore."
Chan+Hori Contemporary,2.6,"Chan+Hori Contemporary is a gallery situated at Block 6 Lock Road which was opened in 2017 and aims to connect contemporary art forms to everyday life. The Gallery has collaborated with several national and international artists, institutions, art councils, and corporate entities. Through this, the Gallery has been hosting special exhibitions related to socio-economic themes and other cultural discourses."
iFly,2.6,"iFly Singapore is an indoor skydiving simulation venue near Siloso Beach Station. A franchise of the popular SkyVenture, iFly offers authentic free-falling simulations within an indoor wind tunnel, featuring a thrilling 90-second drop."
Henderson Waves,2.5,"Standing at the height of thirty-six metres above Henderson Road, the Henderson Waves Bridge is the highest pedestrian bridge of Singapore. Take a walk along this engineering marvel to relish a panoramic view of Singapore skyline and the lush greenery enveloping the bridge. It is illuminated with bright, psychedelic lights till 2.00 AM, rendering a different charm altogether."
Hawker Centres,2.5,"What makes a place worthy of being visited again and again? Sure, the topography, the historically significant spots, the rich cultural heritage, and the places of interest are important factors. However, one thing that surpasses all these points is food. The local cuisine of a place is one of the most significant factors when it comes to deciding if the place in question deserves a second visit. In this respect, Singapore has never disappointed its guests, or locals, for that matter. Be it the spicy Chilli Crab that makes your eyes water or the delicious Kuih for your sweet tooth, Singaporean cuisine is a storehouse of scrumptious food. From Indian to Chinese, from Malay to American, the bustling city-state is ideal for the foodie in you."
Maxwell Food Centre,2.5,"One of the best hawker centres (food court) in Singapore, the Maxwell Food Centre is located at the culturally rich area of Chinatown. Catering to gastronomes from around the world, it is the place to go for savouring authentic Singapore street food."
Chinese New Year in Singapore,2.5,"Synonymous with bright colours, celebration, revelry, sheer joy, and love; the Chinese New Year is undoubtedly one of the most important festivals celebrated in Singapore. Also referred to as the Spring Festival or the Lunar New Year, it falls on the first day of the first month of the traditional lunisolar Chinese calendar and is a time of merrymaking. Being the only festival which calls for a public holiday for two consecutive days, Chinese New Year is one of the favourites among the Singaporeans."
Zoukout,2.5,"Securing the position of one of Asia's biggest beach dance and music festivals, ZoukOut is a two-day event held at Siloso Beach each year. Internationally acclaimed DJs, fun-filled activities, and a whole lot of delicious food are what make this event one of the grandest events across the entire world."
Geylang,2.5,"Singapore may be aptly called the city which never sleeps. A place where sophistication and gaiety run side by side, where sobriety and wildness travel parallelly, where the early bird and the night owl coexist in harmony, Singapore is a mark above the rest. Out of the several places that make up this bustling city-state, the one place that buzzes with excitement and thrill is Geylang. Situated at the eastern part of Singapore's central region, this township is home to a majority of the Malay community. Singapore's historical artefacts and topographical maps bear a witness to the fact that the word Geylang was used to signify the coconut plantations and marshlands lying in close proximity to the Kallang River."
OCBC Skyway,2.5,"OCBC Skyway, located at the famous Gardens by the Bay in Singapore, is a 128-metre long aerial walkway connecting six Supertrees at the Supertree Grove. Situated at a height of 22-metres, with mesmerizing, panoramic views of and beyond the beauty of the Gardens by the Bay and the Marina Bay skyline that encompasses the area, the OCBC Skyway is one of the most ideal places to find peace and tranquillity. The stunning OCBC Skyway is the ideal place to witness the gob-smacking Garden Rhapsody (light and sound show) in all its glory."
Church Of The Holy Family Singapore,2.5,"Located at the junction of East Coast Road and Chapel Road in Katong Singapore, the Church of the Holy Family is a four-storeyed roman catholic church with a brilliant white and grey facade. The highlight of the edifice is its multicoloured 16-panelled stained glass right above the altar which depicts the Holy Family and snippets of Jesus Christ's life during his last days. The stained glass was imported from Italy, especially for the church itself.  A statue of Mother Mary also stands inside a grotto of the church. Also known as Holy Family Church and Katong Catholic Church, it is a well-known landmark and an important place of worship in Katong area."
Bukit Brown Cemetery,2.5,"Bukit Brown Cemetery, popularly known as Kopi Sua or Coffee Hill among the local communities, is a former cemetery situated at 36C Lorong Halwa, Singapore. Estimated to hold about 100,000 graves, this Chinese cemetery is said to be the largest outside China."
Singapore Philatelic Museum,2.5,Singapore Philatelic Museum portrays the history of Singapore's postals and stamps. The museum features an assortment of stamps along with the heritage and history of various philatelic items spread across many galleries. The interactive exhibitions offer a window into the Lion City and other parts of the world through the postage stamps.
Singapore Visitor Centre,2.5,"A two storey Peranakan shophouse in the Emerald Hill area, Orchard Road, the Singapore Visit Centre (SVC) can more so be regarded as a one-stop shop for tourists and travellers. From selling locally designed souvenirs to tours and attractions, event tickets to the booking of accommodations, the Singapore Visitor Centre caters to all traveller/tourist needs. One of the main highlights is its efficient use of technology to aid and assist visitors and tourists. The SVC has four different interactive kiosks that let the visitors browse through different attractions/ options and curate their own customised digital itinerary. This itinerary can either be emailed to the visitors or printed then and there. Apart from this, it houses two huge screens displaying various events and places of interests in the city."
Swan Lake,2.5,"Forming one of the most gorgeous entrances to the magnificent Singapore Botanic Gardens, the Swan Lake is a large, beautiful, man-made lake that adds to the scenic beauty of this national park. Considered the oldest water ornament of Singapore, this massive lake spans an area of 1.5 hectares and a depth of 4m, housing a pair of elegant mute swans which have given this water body its name."
